dcs_rnd1_177|Incomplet și imperfect, manuscrisul greu descifrabil avea doar o sută patruzeci și patru pagini|Incomplet și imperfect, manuscrisul greu descifrabil avea doar o sută patruzeci și patru pagini
dcs_rnd1_178|Nu vreau să comentez nimic, a spus nervoasă profesoara de engleză|Nu vreau să comentez nimic, a spus nervoasă profesoara de engleză
dcs_rnd1_179|Sala a fost găsită în zona arheologică Domus Aurea|Sala a fost găsită în zona arheologică Domus Aurea
dcs_rnd1_180|Polițiștii au luat probe aseară de la locul incidentului|Polițiștii au luat probe aseară de la locul incidentului
dcs_rnd1_181|Constantin Rădulescu, cu începere de la ora douăzeci|Constantin Rădulescu, cu începere de la ora douăzeci
dcs_rnd1_182|Bucuria lor este atunci când papagalul începe să vorbească, ne-a spus Alina Turcu, proprietar de magazin|Bucuria lor este atunci când papagalul începe să vorbească, ne-a spus Alina Turcu, proprietar de magazin
dcs_rnd1_183|Borcea s-a comportat mereu bine în vestiar|Borcea s-a comportat mereu bine în vestiar
dcs_rnd1_184|Uniunea s-a angajat ulterior să suplimenteze finanțarea cu încă cincizeci de miliarde de euro|Uniunea s-a angajat ulterior să suplimenteze finanțarea cu încă cincizeci de miliarde de euro
dcs_rnd1_185|În doi timpi și trei mișcări au dărâmat gardul|În doi timpi și trei mișcări au dărâmat gardul
dcs_rnd1_186|Domnul Bergodi era bine venit la meci, chiar dacă dumnealui nu mai face parte din staff|Domnul Bergodi era bine venit la meci, chiar dacă dumnealui nu mai face parte din staff
dcs_rnd1_187|Eu cream muzica formației, făceam practic partea instrumentală|Eu cream muzica formației, făceam practic partea instrumentală
dcs_rnd1_188|Ideea i-a venit după ce a susținut un concert la penitenciarul Rahova|Ideea i-a venit după ce a susținut un concert la penitenciarul Rahova
dcs_rnd1_189|Nici pentru posturile de mecanic auto nu prea au fost solicitanți|Nici pentru posturile de mecanic auto nu prea au fost solicitanți
dcs_rnd1_190|Ancheta a început în ianuarie și s-a finalizat în iulie, a spus procurorul Mihaela Pop|Ancheta a început în ianuarie și s-a finalizat în iulie, a spus procurorul Mihaela Pop
dcs_rnd1_191|În replică, membrii trupei au negat că Satriani ar fi scris vreo melodie care să-i fi influențat|În replică, membrii trupei au negat că Satriani ar fi scris vreo melodie care să-i fi influențat
dcs_rnd1_192|Și se întorsese de două zile din Franța|Și se întorsese de două zile din Franța
dcs_rnd1_193|În schimb, agenții economici au achitat acest impozit doar în proporție de trei nouă procent|În schimb, agenții economici au achitat acest impozit doar în proporție de trei nouă procent
dcs_rnd1_194|Testarea este optimă în a patra zi de viață|Testarea este optimă în a patra zi de viață
dcs_rnd1_195|Însă evoluția economică negativă impune măsuri suplimentare de reducere a cheltuielilor|Însă evoluția economică negativă impune măsuri suplimentare de reducere a cheltuielilor
dcs_rnd1_196|S-au înregistrat însă și două excepții, Iași și Constanța|S-au înregistrat însă și două excepții, Iași și Constanța
dcs_rnd1_197|Filat promite reglementarea limbii române|Filat promite reglementarea limbii române
dcs_rnd1_198|Văd în ei un sentiment de siguranță, ei cred că li se cuvine totul și știu tot|Văd în ei un sentiment de siguranță, ei cred că li se cuvine totul și știu tot
dcs_rnd1_199|Din cauza acestui contencios, cele două țări nu au semnat niciodată un tratat de pace, amintește Agerpres|Din cauza acestui contencios, cele două țări nu au semnat niciodată un tratat de pace, amintește Agerpres
dcs_rnd1_200|La simplu, România a avut cinci reprezentanți pe tabloul principal|La simplu, România a avut cinci reprezentanți pe tabloul principal
dcs_rnd1_201|De trei ani, Artcurial vinde la licitație anual o piesă istorică ce aparține unei celebrități, în scopuri caritabile|De trei ani, Artcurial vinde la licitație anual o piesă istorică ce aparține unei celebrități, în scopuri caritabile
dcs_rnd1_202|Problemele din aceste domenii mă delectează|Problemele din aceste domenii mă delectează
dcs_rnd1_203|Dar eu am continuat, deși era destul de ciudată pentru ei alegerea mea|Dar eu am continuat, deși era destul de ciudată pentru ei alegerea mea
dcs_rnd1_204|Părinții minorului vor ca bărbatul să fie pedepsit|Părinții minorului vor ca bărbatul să fie pedepsit
dcs_rnd1_205|Încerc să respect tradițiile în care am fost crescut|Încerc să respect tradițiile în care am fost crescut
dcs_rnd1_206|În localitatea doljeană Sadova mai sunt aproape o sută de dogari|În localitatea doljeană Sadova mai sunt aproape o sută de dogari
dcs_rnd1_207|Cultura germană postbelică pacifistă a primit o lovitură puternică|Cultura germană postbelică pacifistă a primit o lovitură puternică
dcs_rnd1_208|Chiar ieri mi-a scris o prietenă din Anglia|Chiar ieri mi-a scris o prietenă din Anglia
dcs_rnd1_209|Sătmăreanul Roman Mureșan a lansat astăzi, un produs naturist pe bază de extracte din plante|Sătmăreanul Roman Mureșan a lansat astăzi, un produs naturist pe bază de extracte din plante
dcs_rnd1_210|Din păcate, în acești ani, statul a devenit tot mai slab|Din păcate, în acești ani, statul a devenit tot mai slab
dcs_rnd1_211|Șoferul tirului a scăpat fără nicio leziune|Șoferul tirului a scăpat fără nicio leziune
dcs_rnd1_212|Fără cameramani și pază de corp|Fără cameramani și pază de corp
dcs_rnd1_213|Am simțit cum trenul a sărit de pe șine și s-a răsturnat|Am simțit cum trenul a sărit de pe șine și s-a răsturnat
dcs_rnd1_214|A fost impresionat și atras de lucrările lui Darwin, de istorie, cultură și psihologie|A fost impresionat și atras de lucrările lui Darwin, de istorie, cultură și psihologie
dcs_rnd1_215|În cadrul proiectului, liceul Silvic va pune la dispoziția cercetătorilor terenul din curtea școlii|În cadrul proiectului, liceul Silvic va pune la dispoziția cercetătorilor terenul din curtea școlii
dcs_rnd1_216|În schimb, oamenii de afaceri, mai ales cei din Moscova, au investit în construcția de hoteluri și cazinouri|În schimb, oamenii de afaceri, mai ales cei din Moscova, au investit în construcția de hoteluri și cazinouri
dcs_rnd1_217|Vom face tot posibilul să existe mai multă înțelegere, cooperare și încredere reciprocă a adăugat el|Vom face tot posibilul să existe mai multă înțelegere, cooperare și încredere reciprocă a adăugat el
dcs_rnd1_218|Apreciază punctualitatea|Apreciază punctualitatea
dcs_rnd1_219|La vernisaj vor lua cuvântul criticul de artă Pavel Șușară și Horia Roman Patapievici, președintele i ce re|La vernisaj vor lua cuvântul criticul de artă Pavel Șușară și Horia Roman Patapievici, președintele i ce re
dcs_rnd1_220|Pentru că vorbim de mii de studenți, operațiunea va dura aproximativ două săptămâni|Pentru că vorbim de mii de studenți, operațiunea va dura aproximativ două săptămâni
dcs_rnd1_221|La fiecare zgomot tresăream, de câte ori auzeam sirene mă ascundeam|La fiecare zgomot tresăream, de câte ori auzeam sirene mă ascundeam
dcs_rnd1_222|Există și clienți fideli pentru atelierele din Târgoviște, care preferă să repare decât să cumpere ceva nou|Există și clienți fideli pentru atelierele din Târgoviște, care preferă să repare decât să cumpere ceva nou
dcs_rnd1_223|Familia este hotărâtă să ceară despăgubiri de la Carmen Bejan și Sergiu Florea|Familia este hotărâtă să ceară despăgubiri de la Carmen Bejan și Sergiu Florea
dcs_rnd1_224|Hai, vino, că altfel nu se poate|Hai, vino, că altfel nu se poate
dcs_rnd1_225|Pentru ca tratatul să intre în vigoare mai trebuie ratificat în încă nouă state|Pentru ca tratatul să intre în vigoare mai trebuie ratificat în încă nouă state
dcs_rnd1_226|Acum, după un an de tratamente și operații, doar câteva pete mai amintesc de teribila boală|Acum, după un an de tratamente și operații, doar câteva pete mai amintesc de teribila boală
dcs_rnd1_227|Gal a plecat de la picnic pentru că a fost sunat să ajungă acasă|Gal a plecat de la picnic pentru că a fost sunat să ajungă acasă
dcs_rnd1_228|O simțim și noi din greu|O simțim și noi din greu
dcs_rnd1_229|Protestele francezilor sunt susținute de producători de lapte din opt țări europene|Protestele francezilor sunt susținute de producători de lapte din opt țări europene
dcs_rnd1_230|Un alt șofer depistat la volan după ce a băut, este Traian Stejărel ge|Un alt șofer depistat la volan după ce a băut, este Traian Stejărel ge
dcs_rnd1_231|Este o fire optimistă, dar care nu suportă să fie în centrul atenției|Este o fire optimistă, dar care nu suportă să fie în centrul atenției
dcs_rnd1_232|De zece ani exportăm în Cehia|De zece ani exportăm în Cehia
dcs_rnd1_233|Am decis deja să pun un preț pe capul lui|Am decis deja să pun un preț pe capul lui
dcs_rnd1_234|Polițiștii atrag atenția cetățenilor să nu le mai dea bani milogilor|Polițiștii atrag atenția cetățenilor să nu le mai dea bani milogilor
dcs_rnd1_235|Până de curând nu au fost probleme deosebite în salon|Până de curând nu au fost probleme deosebite în salon
dcs_rnd1_236|Specialiștii din domeniu le vor oferi și stafuri pentru alegerea corectă|Specialiștii din domeniu le vor oferi și stafuri pentru alegerea corectă
dcs_rnd1_237|Meciul se va juca în memoria lui marian cozma, ucis în luna februarie a acestui an, la Vezprem|Meciul se va juca în memoria lui marian cozma, ucis în luna februarie a acestui an, la Vezprem
dcs_rnd1_238|Lambu a alergat spre mine|Lambu a alergat spre mine
dcs_rnd1_239|Toți au fost trimiși ieri acasă de către profesorul Dumitru Ciuboată, directorul liceului|Toți au fost trimiși ieri acasă de către profesorul Dumitru Ciuboată, directorul liceului
dcs_rnd1_240|Dumitru Petrescu, zona ce a me|Dumitru Petrescu, zona ce a me
dcs_rnd1_241|Asta dorim să observe toți cei ce au prejudecăți în privința internetului|Asta dorim să observe toți cei ce au prejudecăți în privința internetului
dcs_rnd1_242|Credeți că există vreo diferență între meseriașii de acum și cei de altădată|Credeți că există vreo diferență între meseriașii de acum și cei de altădată
dcs_rnd1_243|A pornit de la a face câte un costum pe lună și a le închiria|A pornit de la a face câte un costum pe lună și a le închiria
dcs_rnd1_244|Costă aproximativ o mie de euro|Costă aproximativ o mie de euro
dcs_rnd1_245|Totodată, în zilele de vineri și sâmbătă|Totodată, în zilele de vineri și sâmbătă
dcs_rnd1_246|Două sute cincizeci și trei din codul penal și pentru săvârșirea infracțiunii de neglijență în serviciu|Două sute cincizeci și trei din codul penal și pentru săvârșirea infracțiunii de neglijență în serviciu
dcs_rnd1_247|Să ne prostituăm pentru el, ca să recuperăm acești bani|Să ne prostituăm pentru el, ca să recuperăm acești bani
dcs_rnd1_248|Alți credincioși, speră să beneficieze de serviciile mai multor preoți|Alți credincioși, speră să beneficieze de serviciile mai multor preoți
dcs_rnd1_249|Nu mă interesează să fiu investitor|Nu mă interesează să fiu investitor
dcs_rnd1_250|Am doi copii de crescut și depind de salariul ăsta|Am doi copii de crescut și depind de salariul ăsta
dcs_rnd1_251|Femeia are un teren în apropiere de Câlnic, unde își cultivă în fiecare an de-ale gurii|Femeia are un teren în apropiere de Câlnic, unde își cultivă în fiecare an de-ale gurii
dcs_rnd1_252|I-am trimis săptămâna trecută niște pui să aibă ce mânca până vine|I-am trimis săptămâna trecută niște pui să aibă ce mânca până vine
dcs_rnd1_253|Bunicii mei locuiau în cartier, părinții mei copilăriseră acolo, acolo s-au căsătorit și acolo locuiesc și azi|Bunicii mei locuiau în cartier, părinții mei copilăriseră acolo, acolo s-au căsătorit și acolo locuiesc și azi
dcs_rnd1_254|Filmul rulează în avanpremieră începând de mâine, la cinema Odeon din Polus Center|Filmul rulează în avanpremieră începând de mâine, la cinema Odeon din Polus Center
dcs_rnd1_255|Am întâlnit o echipă bună, care ar putea face pasul spre prima ligă|Am întâlnit o echipă bună, care ar putea face pasul spre prima ligă
dcs_rnd1_256|Dacă este util pentru țară, sunt dispus să lucrez în orice post|Dacă este util pentru țară, sunt dispus să lucrez în orice post
dcs_rnd1_257|Este ceva nou pentru mine, dar este frumos|Este ceva nou pentru mine, dar este frumos
dcs_rnd1_258|Am visat mereu ca o Europă întreagă să asculte și să fredoneze melodia compusă și produsă de mine|Am visat mereu ca o Europă întreagă să asculte și să fredoneze melodia compusă și produsă de mine
dcs_rnd1_259|Și-a făcut ucenicia în meserie chiar pe propriile picioare|Și-a făcut ucenicia în meserie chiar pe propriile picioare
dcs_rnd1_260|Unitățile nu au primit autorizație pentru că nu au apă curentă, canalizare, iar grupurile sanitare sunt neconforme|Unitățile nu au primit autorizație pentru că nu au apă curentă, canalizare, iar grupurile sanitare sunt neconforme
dcs_rnd1_261|Afirmația sa ne-a fost confirmată de către reprezentanții Inspectoratului Județean de Poliție Galați|Afirmația sa ne-a fost confirmată de către reprezentanții Inspectoratului Județean de Poliție Galați
dcs_rnd1_262|Cruciulițele simple se brodează în trei zile, opt ore de muncă zilnic|Cruciulițele simple se brodează în trei zile, opt ore de muncă zilnic
dcs_rnd1_263|Astăzi lucrau pe pod doar doi muncitori, cu lopeți|Astăzi lucrau pe pod doar doi muncitori, cu lopeți
